,mean,std,layer,variable,distance_measure
CIFAR,0.0001932029740939095,0.00010090891520142783,dense1,prune_rate_in,wasserstein_distance
CINIC,0.00018709785763074103,0.00010206058656560126,dense1,prune_rate_in,wasserstein_distance
SVHN,0.0002498748922272132,0.0001915672632630856,dense1,prune_rate_in,wasserstein_distance
RSN,0.0005532826394044495,0.00019170857978646408,dense1,prune_rate_in,wasserstein_distance
RSN_CIFAR,0.0029183791553595486,0.00015305523309168924,dense1,prune_rate_in,wasserstein_distance
RSN_CINIC,0.003416652769145482,0.00017179421783161035,dense1,prune_rate_in,wasserstein_distance
RSN_SVHN,0.0031733063806779383,0.00018784116404547112,dense1,prune_rate_in,wasserstein_distance
CIFAR_SVHN,0.0004277636442585744,0.0002189948052073127,dense1,prune_rate_in,wasserstein_distance
CINIC_CIFAR,0.0006963351105795046,0.00015974681307406795,dense1,prune_rate_in,wasserstein_distance
SVHN_CINIC,0.0003522366166478541,0.00015581325890546684,dense1,prune_rate_in,wasserstein_distance
within_WTs,0.00021005857465062125,0.0001410598381218722,dense1,prune_rate_in,wasserstein_distance
within_conditions,0.0002958645908390783,0.00021494062105977923,dense1,prune_rate_in,wasserstein_distance
between_WTs_and_RSN,0.0031694461017276565,0.00026607274086553327,dense1,prune_rate_in,wasserstein_distance
between_WT_datasets,0.0004921117904953111,0.00023321553214071015,dense1,prune_rate_in,wasserstein_distance
CIFAR,0.001526394800548625,0.00039429320861724846,dense1,prune_rate_out,wasserstein_distance
CINIC,0.0013707355245921018,0.00033023597937622976,dense1,prune_rate_out,wasserstein_distance
SVHN,0.0018483668562327962,0.0004927129254580556,dense1,prune_rate_out,wasserstein_distance
RSN,0.0028292423689736785,0.0007098004548991069,dense1,prune_rate_out,wasserstein_distance
RSN_CIFAR,0.008717330826277918,0.0008016763881938453,dense1,prune_rate_out,wasserstein_distance
RSN_CINIC,0.010575905488864083,0.000622764072910217,dense1,prune_rate_out,wasserstein_distance
RSN_SVHN,0.008616491806549107,0.0008626237954514036,dense1,prune_rate_out,wasserstein_distance
CIFAR_SVHN,0.001731020841627906,0.000532652873213099,dense1,prune_rate_out,wasserstein_distance
CINIC_CIFAR,0.003796054117130652,0.000516739817176069,dense1,prune_rate_out,wasserstein_distance
SVHN_CINIC,0.00418513769293117,0.0007214776822608147,dense1,prune_rate_out,wasserstein_distance
within_WTs,0.0015818323937911744,0.0004567876231353469,dense1,prune_rate_out,wasserstein_distance
within_conditions,0.0018936848875868008,0.0007577607172390421,dense1,prune_rate_out,wasserstein_distance
between_WTs_and_RSN,0.00930324270723037,0.0011845153751580807,dense1,prune_rate_out,wasserstein_distance
between_WT_datasets,0.0032374042172299096,0.0012316315052146286,dense1,prune_rate_out,wasserstein_distance
CIFAR,4.227214478400312e-05,2.365086751191341e-05,dense1,sign_rate_in,wasserstein_distance
CINIC,9.586848047440389e-05,5.7981133752420414e-05,dense1,sign_rate_in,wasserstein_distance
SVHN,9.853242620210526e-05,5.4983138186540835e-05,dense1,sign_rate_in,wasserstein_distance
RSN,4.067806983572789e-05,2.2182446629206663e-05,dense1,sign_rate_in,wasserstein_distance
RSN_CIFAR,8.238025831062291e-05,2.22750420649468e-05,dense1,sign_rate_in,wasserstein_distance
RSN_CINIC,0.00045092251723976553,6.38758005438569e-05,dense1,sign_rate_in,wasserstein_distance
RSN_SVHN,0.00030870543547728086,7.193795919963706e-05,dense1,sign_rate_in,wasserstein_distance
CIFAR_SVHN,0.00024530790706984887,7.416994474837948e-05,dense1,sign_rate_in,wasserstein_distance
CINIC_CIFAR,0.0003834355035073056,7.360355840646169e-05,dense1,sign_rate_in,wasserstein_distance
SVHN_CINIC,0.00015668735245919136,8.867070896520476e-05,dense1,sign_rate_in,wasserstein_distance
within_WTs,7.88910171535041e-05,5.4648214103064605e-05,dense1,sign_rate_in,wasserstein_distance
within_conditions,6.933778032406006e-05,5.134811306039912e-05,dense1,sign_rate_in,wasserstein_distance
between_WTs_and_RSN,0.00028066940367588975,0.00016211322411098248,dense1,sign_rate_in,wasserstein_distance
between_WT_datasets,0.0002618102543454486,0.00012233425841076987,dense1,sign_rate_in,wasserstein_distance
CIFAR,0.00015959993187042679,6.456498340953181e-05,dense1,sign_rate_out,wasserstein_distance
CINIC,7.892995021717342e-05,4.315221368324463e-05,dense1,sign_rate_out,wasserstein_distance
SVHN,0.00011219853533483806,5.445366761568289e-05,dense1,sign_rate_out,wasserstein_distance
RSN,0.00017508994882086185,6.968370932547886e-05,dense1,sign_rate_out,wasserstein_distance
RSN_CIFAR,0.00043044118656326077,0.0001094208898091053,dense1,sign_rate_out,wasserstein_distance
RSN_CINIC,0.0005843754260574167,8.560468935299132e-05,dense1,sign_rate_out,wasserstein_distance
RSN_SVHN,0.00040911253691297447,0.00010084143566475257,dense1,sign_rate_out,wasserstein_distance
CIFAR_SVHN,0.0001350017329620035,5.6721608014828116e-05,dense1,sign_rate_out,wasserstein_distance
CINIC_CIFAR,0.00021338463351790277,8.488896816767168e-05,dense1,sign_rate_out,wasserstein_distance
SVHN_CINIC,0.0002119916393777115,7.226782381514362e-05,dense1,sign_rate_out,wasserstein_distance
within_WTs,0.0001169094724741461,6.398714690805928e-05,dense1,sign_rate_out,wasserstein_distance
within_conditions,0.00013145459156082502,7.013845258595062e-05,dense1,sign_rate_out,wasserstein_distance
between_WTs_and_RSN,0.00047464304984455065,0.00012617360572468158,dense1,sign_rate_out,wasserstein_distance
between_WT_datasets,0.0001867926686192059,8.097435361900386e-05,dense1,sign_rate_out,wasserstein_distance
CIFAR,0.0025914204137021065,0.0007095877845695706,dense2,prune_rate_in,wasserstein_distance
CINIC,0.0022995242002973875,0.0005452619599880379,dense2,prune_rate_in,wasserstein_distance
SVHN,0.0023299032810030064,0.0006592210024480389,dense2,prune_rate_in,wasserstein_distance
RSN,0.003309748146456373,0.0010255341174410227,dense2,prune_rate_in,wasserstein_distance
RSN_CIFAR,0.004844885190186593,0.001003072679853442,dense2,prune_rate_in,wasserstein_distance
RSN_CINIC,0.006124706579744929,0.0010849412832636364,dense2,prune_rate_in,wasserstein_distance
RSN_SVHN,0.005222606000473101,0.001239478000049434,dense2,prune_rate_in,wasserstein_distance
CIFAR_SVHN,0.0024926717054429308,0.0007805941112614782,dense2,prune_rate_in,wasserstein_distance
CINIC_CIFAR,0.003656249873924406,0.0008561257097206783,dense2,prune_rate_in,wasserstein_distance
SVHN_CINIC,0.003272912898041773,0.0008103038779391748,dense2,prune_rate_in,wasserstein_distance
within_WTs,0.0024069492983341675,0.0006549563832726681,dense2,prune_rate_in,wasserstein_distance
within_conditions,0.002632649010364718,0.0008587648307500235,dense2,prune_rate_in,wasserstein_distance
between_WTs_and_RSN,0.005397399256801541,0.0012361713096057274,dense2,prune_rate_in,wasserstein_distance
between_WT_datasets,0.003140611492469703,0.0009490492333456621,dense2,prune_rate_in,wasserstein_distance
CIFAR,0.014113756613756613,0.004408123980054278,dense2,prune_rate_out,wasserstein_distance
CINIC,0.013799603174603181,0.004868864281939225,dense2,prune_rate_out,wasserstein_distance
SVHN,0.012700517075517085,0.004532489507895952,dense2,prune_rate_out,wasserstein_distance
RSN,0.011852575231481484,0.003843104650377846,dense2,prune_rate_out,wasserstein_distance
RSN_CIFAR,0.013470238095238101,0.005066296893324504,dense2,prune_rate_out,wasserstein_distance
RSN_CINIC,0.018493303571428574,0.004748124300990585,dense2,prune_rate_out,wasserstein_distance
RSN_SVHN,0.01618433779761905,0.004238789411923024,dense2,prune_rate_out,wasserstein_distance
CIFAR_SVHN,0.01669885518127706,0.004474963209676992,dense2,prune_rate_out,wasserstein_distance
CINIC_CIFAR,0.018689732142857143,0.005213652630201363,dense2,prune_rate_out,wasserstein_distance
